Athlete,Gold,Silver,Bronze,Total,City,Region
Thomas Ceccon,1,0,1,2,Thiene,VENETO
Simone Consonni,0,1,1,2,Ponte San Pietro,LOMBARDIA
Filippo Macchi,0,2,0,2,Pontedera,TOSCANA
Alice D’Amato,1,1,0,2,Genova,LIGURIA
Gregorio Paltrinieri,0,1,1,2,Carpi,EMILIA-ROMAGNA
Filippo Ganna,0,1,1,2,Verbania,PIEMONTE
Manila Esposito,0,1,1,2,Boscotrecase,CAMPANIA
Marina Lubian,1,0,0,1,Moncalieri,PIEMONTE
Ekaterina Antropova,1,0,0,1,Islanda,ESTERO
Simone Alessio,0,0,1,1,Livorno,TOSCANA
Paolo Conte Bonin,0,0,1,1,Thiene,VENETO
Giorgio Malan,0,0,1,1,Torino,PIEMONTE
Ruggero Tita,1,0,0,1,Rovereto,TRENTINO-ALTO ADIGE
Daniela Mogurean,0,0,1,1,Moldavia,ESTERO
Francesco Lamon,0,0,1,1,Mirano,VENETO
Luigi Samele,0,0,1,1,Foggia,PUGLIA
Alessio Foconi,0,1,0,1,Roma,LAZIO
Martina Favaretto,0,1,0,1,Camposampiero,VENETO
Caterina Banti,1,0,0,1,Roma,LAZIO
Elia Viviani,0,1,0,1,Isola della Scala,VENETO
Giovanni De Gennaro,1,0,0,1,Roncadelle,LOMBARDIA
Lorenzo Zazzeri,0,0,1,1,Firenze,TOSCANA
Alessandro Miressi,0,0,1,1,Torino,PIEMONTE
Guillaume Bianchi,0,1,0,1,Roma,LAZIO
Luca Rambaldi,0,1,0,1,Ferrara,EMILIA-ROMAGNA
Myriam Sylla,1,0,0,1,Palermo,SICILIA
Federico Nilo Maldini,0,1,0,1,Bologna,EMILIA-ROMAGNA
Paolo Monna,0,0,1,1,Fasano,PUGLIA
Carlo Tacchini,0,1,0,1,Verbania,PIEMONTE
Agnese Duranti,0,0,1,1,Spoleto,UMBRIA
Francesca Palumbo,0,1,0,1,Potenza,BASILICATA
Gabriele Rossetti,1,0,0,1,Firenze,TOSCANA
Laura Paris,0,0,1,1,Rho,LOMBARDIA
Monica De Gennaro,1,0,0,1,Piano di Sorrento,CAMPANIA
Manuel Frigo,0,0,1,1,Cittadella,VENETO
Andy Diaz,0,0,1,1,Cuba,ESTERO
Giorgia Villa,0,1,0,1,Ponte San Pietro,LOMBARDIA
Silvana Stanco,0,1,0,1,Svizzera,ESTERO
Jonathan Milan,0,0,1,1,Tolmezzo,FRIULI-VENEZIA GIULIA
Lorenzo Musetti,0,0,1,1,Carrara,TOSCANA
Jasmine Paolini,1,0,0,1,Castelnuovo di Garfagnana,TOSCANA
Diana Bacosi,1,0,0,1,Città della Pieve,UMBRIA
Giacomo Gentili,0,1,0,1,Cremona,LOMBARDIA
Loveth Omoruyi,1,0,0,1,Lodi,LOMBARDIA
Andrea Panizza,0,1,0,1,Lecco,LOMBARDIA
Sara Errani,1,0,0,1,Bologna,EMILIA-ROMAGNA
Ilaria Spirito,1,0,0,1,Albisola Superiore,LIGURIA
Arianna Errigo,0,1,0,1,Monza,LOMBARDIA
Ginevra Taddeucci,0,0,1,1,Lastra a Signa,TOSCANA
Nadia Battocletti,0,1,0,1,Cavareno,TRENTINO-ALTO ADIGE
Mara Navarria,1,0,0,1,Udine,FRIULI-VENEZIA GIULIA
Martina Centofanti,0,0,1,1,Roma,LAZIO
Sofia Raffaeli,0,0,1,1,Ancona,MARCHE
Stefano Oppo,0,1,0,1,Oristano,SARDEGNA
Rossella Fiamingo,1,0,0,1,Catania,SICILIA
Elisa Iorio,0,1,0,1,Modena,EMILIA-ROMAGNA
Alice Bellandri,1,0,0,1,Roncadelle,LOMBARDIA
Nicolò Martinenghi,1,0,0,1,Varese,LOMBARDIA
Angela Andreoli,0,1,0,1,Brescia,LOMBARDIA
Alessia Maurelli,0,0,1,1,Rivoli,PIEMONTE
Leonardo Deplano,0,0,1,1,Firenze,TOSCANA
Alberta Santuccio,1,0,0,1,Catania,SICILIA
Marta Maggetti,1,0,0,1,Cagliari,SARDEGNA
Sarah Fahr,1,0,0,1,Germania,ESTERO
Gabriel Soares,0,1,0,1,Brasile,ESTERO
Tommaso Marini,0,1,0,1,Ancona,MARCHE
Alice Volpi,0,1,0,1,Siena,TOSCANA
Gabriele Casadei,0,1,0,1,Ivrea,PIEMONTE
Caterina Bosetti,1,0,0,1,Busto Arsizio,LOMBARDIA
Antonino Pizzolato,0,0,1,1,Castelvetrano,SICILIA
Alessia Orro,1,0,0,1,Oristano,SARDEGNA
Anna Danesi,1,0,0,1,Roncadelle,LOMBARDIA
Mattia Furlani,0,0,1,1,Marino,LAZIO
Chiara Consonni,1,0,0,1,Ponte San Pietro,LOMBARDIA
Luca Chiumento,0,1,0,1,Padova,VENETO
Paola Egonu,1,0,0,1,Cittadella,VENETO
Carlotta Cambi,1,0,0,1,San Miniato,TOSCANA
Gaia Giovannini,1,0,0,1,San Giovanni in Persiceto,EMILIA-ROMAGNA
Giulia Rizzi,1,0,0,1,Udine,FRIULI-VENEZIA GIULIA
Vittoria Guazzini,1,0,0,1,Pontedera,TOSCANA
